operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,166.235,129.854,125.693
R2,685.130,654.467,619.880
R3,1450.791,1415.052,1413.672
R4,716.474,703.013,689.353
R5,108.986,99.917,106.059
R6,1472.452,1424.916,1433.991
U1,471.878,470.756,478.985
U2,4.940,3.637,4.923
U3,1260.497,1228.814,1215.612
U4,3.643,3.782,3.334
U5,828.812,799.877,813.282
U6,23.669,25.136,25.862
C1,30.383,29.855,30.447
C2,1.300,1.828,3.785
C3,3.374,3.267,3.035
C4,3.504,3.386,3.578
C5,4.632,4.888,4.752
C6,12.789,12.681,11.014
D1,2.811,2.665,2.603
D2,3.772,3.459,3.381
D3,61596.305,62708.203,61800.743
D4,66351.630,66427.999,66987.175
D5,3.910,3.968,4.478
D6,3.917,3.153,3.315
