operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,150.256,148.583,1076.773
R2,7.995,7.072,5.982
R3,342.355,328.828,332.999
R4,12.185,11.700,12.070
R5,32.912,33.202,32.927
R6,37.328,35.704,37.043
U1,11.940,9.790,9.628
U2,5.259,5.591,3.854
U3,10.100,9.219,8.927
U4,3.681,4.065,4.464
U5,8.684,7.497,7.574
U6,6.243,6.217,6.879
C1,3.957,5.128,4.137
C2,4.094,4.557,4.188
C3,6.070,7.736,5.864
C4,4.608,4.720,5.926
C5,5.583,5.208,5.208
C6,9.590,8.684,8.989
D1,3.619,3.427,4.055
D2,3.721,3.724,3.725
D3,164.689,155.500,175.132
D4,981.456,971.949,1060.564
D5,23.947,15.207,14.521
D6,9.200,8.933,9.138
