operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,27.338,25.961,24.014
R2,125.690,113.009,111.538
R3,238.723,212.646,196.759
R4,85.205,84.599,82.486
R5,15.999,15.207,15.691
R6,174.671,183.699,181.242
U1,59.051,64.030,58.976
U2,3.522,7.565,5.065
U3,163.505,142.029,146.871
U4,4.148,3.894,3.543
U5,90.844,85.575,84.956
U6,24.460,25.588,26.905
C1,31.717,30.303,29.931
C2,1.178,1.461,1.249
C3,3.484,3.446,3.176
C4,3.693,4.595,5.290
C5,4.984,4.472,4.480
C6,10.719,12.969,10.558
D1,2.458,2.616,2.519
D2,3.722,6.172,3.429
D3,6127.867,5997.533,6089.344
D4,6774.139,6900.810,6581.112
D5,3.957,3.745,3.363
D6,3.197,3.073,2.955
