operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,13.041,14.120,14.786
R2,3.243,3.157,3.382
R3,8.773,7.872,8.469
R4,3.515,3.949,3.909
R5,6.190,6.225,5.783
R6,3.153,3.233,3.955
U1,8.329,9.903,9.812
U2,6.883,6.146,6.723
U3,6.317,6.022,5.675
U4,6.992,13.525,6.686
U5,5.308,5.615,4.840
U6,9.018,8.834,9.235
C1,8.055,42.494,22.465
C2,12.858,8.333,8.673
C3,9.255,9.506,10.993
C4,10.115,7.797,7.379
C5,10.754,9.632,20.161
C6,17.278,14.782,22.607
D1,9.525,8.820,8.441
D2,9.065,6.689,7.157
D3,57.960,65.308,58.704
D4,1783.345,1795.081,1786.857
D5,9.704,9.633,9.894
D6,8.946,9.131,11.573
