operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,26.350,23.684,26.820
R2,22.594,22.680,22.231
R3,62.096,66.402,60.976
R4,33.547,43.936,34.683
R5,5.951,6.009,5.933
R6,62.683,64.812,62.819
U1,22.775,22.605,25.802
U2,2.179,1.079,1.134
U3,59.027,58.207,55.917
U4,1.059,1.164,1.371
U5,39.591,40.617,41.627
U6,17.653,18.083,17.164
C1,11.575,11.048,11.526
C2,0.814,0.915,0.931
C3,1.577,1.596,1.471
C4,1.127,1.322,1.595
C5,2.338,1.821,2.249
C6,4.150,4.313,3.783
D1,5.833,5.705,5.805
D2,7.414,7.169,7.312
D3,2590.556,2547.010,2576.808
D4,2600.686,2608.902,2683.361
D5,1.972,1.810,1.997
D6,2.026,1.798,1.619
