operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,701.586,664.025,577.606
R2,21.812,21.188,17.784
R3,105.020,112.052,105.291
R4,17.831,16.185,19.503
R5,91.485,82.557,74.242
R6,114.555,91.973,110.899
U1,37.873,53.243,50.799
U2,7.313,8.149,6.959
U3,72.769,38.905,43.281
U4,8.771,7.811,11.015
U5,83.533,34.164,29.357
U6,13.579,11.019,9.620
C1,8.910,8.567,7.023
C2,6.639,7.583,7.616
C3,9.139,10.962,10.649
C4,20.299,8.594,7.707
C5,17.850,9.741,9.613
C6,24.456,25.642,15.893
D1,6.906,6.905,5.953
D2,7.550,6.974,6.763
D3,1292.441,904.277,3591.290
D4,151.716,153.327,157.293
D5,23.062,26.775,24.188
D6,37.188,36.356,37.104
