operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,290.116,239.978,875.692
R2,974.963,976.718,998.741
R3,7730.111,7847.528,7564.652
R4,5945.065,5915.909,5827.215
R5,266.763,248.098,255.743
R6,8146.424,8007.066,8231.580
U1,1052.094,1057.615,1025.095
U2,2.043,1.635,1.508
U3,7136.702,7208.751,7283.213
U4,1.195,1.397,1.285
U5,3919.964,3881.193,4050.660
U6,20.881,18.067,18.997
C1,11.272,11.940,10.620
C2,0.923,0.958,0.967
C3,1.637,1.474,1.682
C4,1.644,1.708,1.702
C5,2.392,4.101,2.176
C6,4.143,4.618,5.672
D1,6.106,6.388,5.870
D2,6.572,6.245,6.523
D3,206830.476,203727.349,202725.916
D4,200443.243,199846.835,206520.768
D5,2.122,2.615,1.901
D6,2.299,2.158,2.102
