operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,72.412,58.031,56.849
R2,5.432,4.520,4.532
R3,148.292,149.574,143.368
R4,7.811,6.682,6.724
R5,18.759,25.612,20.432
R6,17.316,18.551,17.989
U1,7.617,8.138,7.766
U2,3.367,3.718,3.626
U3,5.655,5.605,5.037
U4,4.043,7.436,4.310
U5,6.325,4.867,4.975
U6,6.883,5.974,7.188
C1,5.223,4.475,4.261
C2,6.691,3.842,5.491
C3,5.259,6.719,5.684
C4,4.106,4.114,5.443
C5,4.572,37.368,4.794
C6,11.683,10.649,9.934
D1,3.156,4.345,3.152
D2,3.436,3.256,3.536
D3,76.186,62.177,80.374
D4,434.738,460.229,442.765
D5,9.708,8.613,9.131
D6,6.281,6.314,6.629
