operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,107.108,100.914,98.308
R2,209.743,93.796,84.207
R3,1219.263,1102.030,1101.720
R4,628.188,615.706,606.879
R5,79.481,82.870,79.756
R6,1132.132,1152.209,1150.622
U1,2.089,1.762,1.671
U2,1.749,1.785,1.571
U3,678.926,379.157,400.892
U4,1.966,1.954,2.292
U5,491.740,71.175,72.177
U6,19.058,23.260,19.177
C1,2.339,2.496,3.245
C2,0.886,0.989,0.982
C3,2.013,2.401,3.041
C4,2.393,2.358,2.467
C5,3.265,3.051,3.155
C6,7.431,7.867,7.894
D1,1.770,1.582,1.816
D2,2.308,2.443,2.264
D3,30413.173,30378.951,30191.362
D4,43833.675,44407.164,44370.716
D5,2.929,2.884,2.793
D6,2.743,3.337,2.964
