operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,84.182,85.761,91.532
R2,6.194,6.512,6.392
R3,42.281,36.458,33.385
R4,9.422,8.110,7.491
R5,35.918,35.246,34.996
R6,27.691,27.517,26.958
U1,3.458,4.985,3.249
U2,3.901,18.308,3.622
U3,27.903,12.458,12.839
U4,6.439,4.480,4.344
U5,18.362,3.046,2.744
U6,5.645,6.849,6.190
C1,5.323,4.794,10.282
C2,4.166,4.891,4.006
C3,6.598,5.763,5.477
C4,4.336,4.120,4.479
C5,5.852,5.823,5.218
C6,14.337,7.004,7.818
D1,4.532,3.544,4.172
D2,3.640,4.158,4.119
D3,444.689,506.032,433.275
D4,54.874,55.099,57.312
D5,3.835,6.408,4.042
D6,3.993,4.141,4.207
