operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,108.598,95.326,94.525
R2,3.000,2.991,2.925
R3,45.014,45.769,45.412
R4,11.533,11.590,11.570
R5,35.589,30.838,28.854
R6,52.919,54.196,58.254
U1,1.986,2.414,1.860
U2,2.387,1.948,2.017
U3,7.145,5.722,6.280
U4,1.943,2.197,2.085
U5,13.997,12.860,13.390
U6,4.300,4.709,4.586
C1,2.437,2.474,2.430
C2,2.201,2.417,2.496
C3,3.579,3.456,3.657
C4,3.214,2.722,2.778
C5,3.212,4.117,3.635
C6,5.538,4.930,5.218
D1,1.849,1.850,1.754
D2,1.590,1.784,1.759
D3,152.492,123.202,126.805
D4,139.591,139.331,141.210
D5,2.583,2.345,2.349
D6,2.510,2.942,2.414
