operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,12.490,13.310,13.104
R2,1.075,1.144,1.203
R3,32.363,31.215,30.606
R4,2.703,2.664,2.593
R5,3.858,5.165,3.871
R6,2.380,3.131,3.246
U1,2.709,1.905,1.923
U2,1.869,1.826,1.717
U3,2.488,1.632,1.657
U4,1.870,2.731,1.870
U5,1.879,1.653,1.778
U6,3.107,3.092,3.419
C1,2.008,1.964,2.028
C2,1.915,1.949,1.986
C3,2.898,2.978,3.363
C4,2.583,2.298,2.304
C5,2.797,2.862,2.985
C6,5.645,6.178,5.524
D1,1.565,1.695,1.685
D2,1.647,1.719,1.665
D3,10.459,10.636,9.536
D4,33.224,32.634,38.155
D5,1.976,1.875,1.967
D6,1.898,1.876,1.866
