operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,503.213,574.002,502.599
R2,13.100,12.771,13.298
R3,3290.276,0.588,2095.164
R4,6916.196,6949.566,6992.616
R5,296.698,275.118,255.435
R6,9651.183,9478.927,9540.558
U1,1.245,1.446,1.357
U2,1.644,1.142,1.336
U3,15795.601,15854.185,15506.248
U4,1.046,1.052,1.124
U5,33.366,5.870,6.575
U6,12.156,13.335,13.955
C1,2.333,1.863,1.999
C2,0.653,1.192,0.762
C3,1.652,1.508,1.619
C4,4.444,4.222,4.669
C5,7.521,7.332,7.296
C6,13.305,5.695,5.456
D1,3.251,1.180,1.128
D2,1.758,1.402,1.905
D3,101073.403,103775.406,102271.691
D4,52029.734,51783.539,50707.239
D5,1.747,2.044,1.967
D6,2.007,2.104,1.897
