operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,84.307,67.318,64.939
R2,19.129,81.092,19.061
R3,503.945,519.022,696.646
R4,310.911,288.209,276.815
R5,38.187,40.652,41.070
R6,516.625,497.642,586.999
U1,1.481,1.829,1.964
U2,1.765,2.013,1.753
U3,193.181,192.222,175.409
U4,1.970,2.015,1.834
U5,175.220,26.201,26.997
U6,19.964,20.210,19.631
C1,2.559,2.750,3.026
C2,1.052,1.223,1.210
C3,2.222,2.331,2.594
C4,2.492,2.670,2.546
C5,3.666,2.985,3.307
C6,8.194,8.082,8.781
D1,1.979,2.031,1.890
D2,2.250,2.606,2.357
D3,15407.640,15577.758,15321.342
D4,22089.671,23271.730,22487.655
D5,3.396,4.256,2.844
D6,2.842,2.762,2.782
