operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,45.086,43.124,52.159
R2,4.746,4.352,4.612
R3,19.209,20.726,18.777
R4,6.024,5.870,5.544
R5,19.802,22.894,20.269
R6,14.709,14.203,13.371
U1,4.087,4.499,4.834
U2,4.381,8.489,3.290
U3,9.346,9.412,12.718
U4,4.262,3.975,4.209
U5,16.119,4.426,5.772
U6,10.571,6.803,11.356
C1,7.925,4.877,4.455
C2,4.818,4.639,5.150
C3,7.771,7.309,9.916
C4,4.673,4.758,9.332
C5,6.545,6.485,6.107
C6,41.996,10.403,10.359
D1,4.112,3.719,7.748
D2,7.703,4.579,4.295
D3,367.973,363.840,373.911
D4,28.566,27.982,27.893
D5,4.140,4.820,4.160
D6,4.648,4.578,5.359
