operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,52.577,51.680,49.727
R2,12.130,12.268,12.543
R3,346.376,340.427,349.851
R4,175.272,179.374,183.487
R5,28.413,29.343,32.848
R6,333.035,326.998,308.652
U1,1.498,1.425,1.377
U2,1.393,1.531,1.308
U3,285.875,302.283,290.559
U4,1.020,1.272,1.412
U5,6.202,6.059,6.125
U6,9.681,8.919,9.861
C1,1.720,1.424,1.646
C2,0.911,0.927,1.098
C3,1.709,1.665,1.631
C4,1.957,1.830,1.883
C5,2.271,2.303,2.067
C6,5.480,5.279,5.107
D1,1.289,1.322,1.329
D2,1.765,1.550,1.772
D3,8141.702,7926.993,8115.833
D4,8366.114,8524.503,8204.817
D5,2.126,2.129,2.192
D6,1.924,1.997,1.802
