operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,66.384,36.763,32.176
R2,88.600,62.337,72.798
R3,98.144,91.984,83.563
R4,83.289,83.988,76.294
R5,13.834,13.382,15.082
R6,144.447,139.720,138.568
U1,65.124,50.885,50.195
U2,3.546,4.262,3.727
U3,119.771,120.355,122.129
U4,2.786,2.803,2.840
U5,69.122,71.247,67.423
U6,21.240,21.062,22.940
C1,22.567,21.796,21.934
C2,1.357,2.503,1.336
C3,3.240,18.410,3.177
C4,3.098,3.128,2.984
C5,4.012,4.152,4.269
C6,9.431,10.289,9.611
D1,2.822,2.657,2.407
D2,3.474,3.384,3.441
D3,6183.444,6158.378,6269.775
D4,6911.248,7212.005,6642.696
D5,3.282,3.094,3.028
D6,3.020,3.217,3.421
