operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,36.729,20.598,19.135
R2,4.605,4.458,3.931
R3,3.577,3.367,4.060
R4,3.893,3.915,3.211
R5,2.889,2.804,2.416
R6,2.266,2.315,2.007
U1,9.329,8.770,8.627
U2,6.950,6.637,6.816
U3,5.705,7.211,4.661
U4,7.209,7.446,9.399
U5,2.857,3.006,3.071
U6,10.429,10.643,9.855
C1,8.830,8.023,8.011
C2,7.863,7.874,7.999
C3,10.763,10.474,9.952
C4,9.816,8.814,8.785
C5,10.665,9.342,11.922
C6,21.701,20.991,20.596
D1,7.737,7.683,8.320
D2,7.494,8.059,7.730
D3,9.129,12.682,8.017
D4,313.293,348.776,370.692
D5,14.139,13.655,13.164
D6,7.577,7.232,8.432
