operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,20.345,17.473,15.728
R2,2.129,2.571,2.185
R3,6.795,6.683,6.945
R4,4.061,3.723,4.480
R5,8.076,5.203,5.477
R6,3.815,3.480,3.397
U1,3.230,3.914,3.062
U2,3.169,2.814,2.722
U3,3.409,3.105,2.600
U4,3.156,3.083,2.944
U5,3.340,3.231,3.353
U6,4.779,5.098,4.791
C1,3.251,3.152,3.038
C2,3.317,3.184,3.066
C3,5.206,5.690,5.272
C4,3.962,3.711,3.598
C5,5.300,4.689,5.755
C6,11.290,10.617,11.539
D1,2.266,2.552,2.722
D2,2.487,3.047,2.411
D3,13.589,13.235,12.839
D4,15.069,14.178,15.445
D5,2.548,3.000,2.910
D6,2.862,2.807,3.226
GET /bookshop/1/books,15.329,14.414,30.064
