operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,14.745,14.534,13.804
R2,28.260,25.224,24.692
R3,41.087,41.421,43.802
R4,44.236,42.826,42.493
R5,7.787,6.659,6.789
R6,73.394,70.946,70.512
U1,25.915,28.953,26.232
U2,1.507,1.947,1.687
U3,65.985,69.994,62.573
U4,1.352,1.300,1.291
U5,39.308,40.442,43.008
U6,16.364,17.754,16.718
C1,10.817,10.759,10.746
C2,0.984,0.947,0.964
C3,1.583,1.782,1.549
C4,1.651,1.588,1.804
C5,2.342,2.048,2.218
C6,4.506,4.311,4.691
D1,6.867,6.789,6.710
D2,7.852,7.799,7.874
D3,2705.663,2638.265,2792.406
D4,2799.967,2831.732,2824.867
D5,1.911,1.784,1.889
D6,1.869,2.065,2.129
